                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.858,                 1.6665,                 2.0071,                0.86898,                0.76688,                0.80167,                0.49429,                 1.5731,                 1.1499,                 1.7979,             0.00063912,             0.00063912,             0.00063912
                     69,                 1.7922,                 1.5731,                 1.9628,                0.92486,                0.74417,                 0.8068,                0.50935,                 1.5722,                 1.1225,                 1.7678,             0.00062733,             0.00062733,             0.00062733
                     70,                 1.8662,                 1.7582,                 2.0393,                0.92136,                0.77877,                 0.8269,                 0.5073,                 1.5582,                 1.1362,                 1.7491,             0.00061554,             0.00061554,             0.00061554
                     71,                 1.8218,                 1.6285,                 1.9802,                0.90789,                0.75957,                0.81792,                0.49687,                 1.5427,                 1.1308,                 1.7367,             0.00060375,             0.00060375,             0.00060375
                     72,                 1.6934,                 1.6104,                 1.9784,                0.83989,                 0.7309,                0.81456,                0.50435,                 1.5133,                 1.1423,                 1.7191,             0.00059196,             0.00059196,             0.00059196
                     73,                 1.7127,                 1.5238,                 1.9353,                0.89244,                0.72267,                0.82163,                0.51228,                 1.4955,                 1.2294,                 1.7114,             0.00058017,             0.00058017,             0.00058017
                     74,                 1.7193,                 1.5179,                 1.8749,                0.79943,                0.74146,                 0.8089,                0.48275,                 1.5585,                 1.2899,                 1.7495,             0.00056838,             0.00056838,             0.00056838
                     75,                 1.7421,                 1.5159,                 1.9105,                0.87322,                0.72599,                0.80935,                0.51237,                 1.4656,                 1.1762,                 1.7106,              0.0005566,              0.0005566,              0.0005566
                     76,                 1.6998,                  1.474,                 1.9278,                0.85718,                 0.7619,                0.81502,                0.56439,                 1.3421,                 1.0921,                  1.652,             0.00054481,             0.00054481,             0.00054481
                     77,                 1.6695,                 1.4227,                 1.8623,                0.82488,                0.78583,                0.83036,                0.56264,                 1.3563,                 1.0436,                 1.6645,             0.00053302,             0.00053302,             0.00053302
                     78,                 1.8018,                   1.57,                 2.0142,                0.95962,                0.74298,                0.85313,                0.54038,                 1.4353,                 1.0348,                 1.7036,             0.00052123,             0.00052123,             0.00052123
                     79,                 1.7345,                 1.5416,                 1.9533,                0.96455,                0.76146,                0.86661,                0.55569,                 1.4156,                  1.004,                 1.6907,             0.00050944,             0.00050944,             0.00050944
                     80,                 1.5537,                 1.3565,                  1.834,                0.98435,                0.76762,                 0.8529,                0.57045,                  1.325,                   0.96,                 1.6381,             0.00049765,             0.00049765,             0.00049765
                     81,                  1.562,                 1.3888,                 1.8735,                0.97267,                0.77778,                0.85878,                0.57786,                 1.2927,                0.95217,                 1.6163,             0.00048586,             0.00048586,             0.00048586
                     82,                 1.6114,                 1.4298,                 1.8618,                 0.9864,                0.78196,                0.86304,                 0.5771,                 1.3271,                0.95761,                 1.6116,             0.00047407,             0.00047407,             0.00047407
                     83,                 1.6094,                 1.3873,                 1.8412,                0.98566,                0.74045,                0.86617,                0.55735,                 1.4048,                0.98502,                 1.6335,             0.00046228,             0.00046228,             0.00046228
                     84,                 1.5289,                  1.292,                  1.786,                0.87424,                0.74315,                0.83558,                0.55771,                 1.3258,                0.98418,                 1.5874,             0.00045049,             0.00045049,             0.00045049
                     85,                 1.5718,                  1.411,                 1.8686,                0.87918,                 0.7471,                0.83118,                0.56867,                 1.3053,                0.96579,                  1.581,              0.0004387,              0.0004387,              0.0004387
                     86,                  1.616,                 1.4152,                 1.8982,                0.95312,                0.74992,                0.85808,                0.56165,                  1.333,                0.98218,                 1.5972,             0.00042691,             0.00042691,             0.00042691
                     87,                 1.7374,                 1.6183,                 1.9583,                 0.9701,                0.80399,                0.87169,                0.56467,                 1.3449,                0.98849,                 1.6006,             0.00041512,             0.00041512,             0.00041512
                     88,                 1.5988,                 1.4105,                 1.8163,                0.97178,                 0.7964,                0.87999,                0.61155,                 1.2657,                0.92698,                 1.5363,             0.00040334,             0.00040334,             0.00040334
                     89,                 1.5974,                 1.4188,                 1.8196,                0.94657,                0.79878,                0.87315,                 0.6038,                 1.2653,                0.90568,                 1.5293,             0.00039155,             0.00039155,             0.00039155
                     90,                 1.4975,                 1.2608,                 1.7591,                   0.93,                0.78898,                0.86565,                0.59845,                 1.2562,                0.90927,                 1.5231,             0.00037976,             0.00037976,             0.00037976
                     91,                 1.5608,                 1.3371,                 1.7992,                0.92717,                0.83043,                0.87843,                0.59901,                 1.2606,                0.91173,                 1.5312,             0.00036797,             0.00036797,             0.00036797
                     92,                 1.5118,                 1.3136,                 1.7831,                0.97844,                0.84672,                0.90379,                0.60251,                  1.263,                0.90268,                 1.5461,             0.00035618,             0.00035618,             0.00035618
                     93,                 1.5969,                 1.4241,                 1.8374,                0.99249,                0.80292,                0.90841,                0.61424,                 1.2417,                0.88072,                   1.54,             0.00034439,             0.00034439,             0.00034439
                     94,                 1.5302,                 1.3111,                 1.7639,                0.99297,                0.80259,                 0.9091,                0.61219,                 1.2321,                0.87948,                 1.5364,              0.0003326,              0.0003326,              0.0003326
                     95,                 1.4317,                  1.265,                  1.678,                0.98772,                0.82243,                0.92099,                0.64439,                 1.1827,                0.87143,                 1.5033,             0.00032081,             0.00032081,             0.00032081
                     96,                  1.578,                 1.4591,                 1.9377,                0.93009,                0.83201,                0.92938,                  0.668,                 1.1383,                0.85102,                 1.4829,             0.00030902,             0.00030902,             0.00030902
                     97,                 1.4355,                  1.237,                 1.7361,                0.95789,                0.81791,                0.92841,                0.64618,                 1.1551,                0.84038,                 1.4842,             0.00029723,             0.00029723,             0.00029723
                     98,                 1.4874,                 1.2809,                 1.7378,                0.99423,                0.79187,                0.91932,                0.63981,                 1.1822,                0.85285,                  1.483,             0.00028544,             0.00028544,             0.00028544
                     99,                  1.514,                 1.2539,                 1.7309,                0.99201,                0.79269,                 0.9171,                0.62921,                 1.1993,                0.86792,                 1.4738,             0.00027365,             0.00027365,             0.00027365
                    100,                  1.437,                 1.2315,                 1.6855,                0.98647,                0.80631,                0.91456,                0.63689,                 1.1842,                0.86728,                 1.4488,             0.00026186,             0.00026186,             0.00026186
                    101,                 1.4886,                 1.2223,                 1.7839,                0.99605,                0.80304,                0.91322,                0.64185,                 1.1703,                0.85932,                 1.4358,             0.00025007,             0.00025007,             0.00025007
